unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri"7C2D0700-8627-4963-E053-6B04A8C07B97","460000","2018-11-19","OX1 1JS","T","N","F","","7","WOODBINE PLACE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7C2D0700-8627-4963-E053-6B04A8C07B97/current"
"7C2D0700-831B-4963-E053-6B04A8C07B97","485000","2018-10-31","OX1 2RF","S","N","F","","10","STABLE CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7C2D0700-831B-4963-E053-6B04A8C07B97/current"
"85866A65-1EDB-143F-E053-6B04A8C06A15","555000","2019-03-07","OX1 2RG","S","N","F","","28","REWLEY ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/85866A65-1EDB-143F-E053-6B04A8C06A15/current"
"8A78B2AF-EA54-5CB0-E053-6B04A8C0F504","632000","2019-05-02","OX1 2RQ","T","N","F","","78","REWLEY ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-EA54-5CB0-E053-6B04A8C0F504/current"
"919FEC05-A32E-9A90-E053-6C04A8C0A300","916230","2019-07-18","OX1 4LF","T","N","F","","39","WESTERN ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-A32E-9A90-E053-6C04A8C0A300/current"
"7E86B6FB-34EA-458C-E053-6B04A8C0C84C","785000","2018-11-27","OX1 4LF","T","N","F","","41","WESTERN ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7E86B6FB-34EA-458C-E053-6B04A8C0C84C/current"
"79A74E22-02B5-1289-E053-6B04A8C01627","689000","2018-08-29","OX1 4LG","T","N","F","","38","WESTERN ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/79A74E22-02B5-1289-E053-6B04A8C01627/current"
"7011B109-BCF2-8ED6-E053-6B04A8C075C1","605000","2018-06-04","OX1 4LH","T","N","F","","22","BUCKINGHAM STREET","GRANDPONT","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7011B109-BCF2-8ED6-E053-6B04A8C075C1/current"
"8CAC1318-972D-0253-E053-6B04A8C08E51","660000","2019-05-28","OX1 4LJ","T","N","F","","21","COBDEN CRESCENT","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-972D-0253-E053-6B04A8C08E51/current"
"7011B109-BF5C-8ED6-E053-6B04A8C075C1","620000","2018-05-31","OX1 4LP","T","N","F","","8","MARLBOROUGH ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7011B109-BF5C-8ED6-E053-6B04A8C075C1/current"
"80E1AA98-838E-7BF8-E053-6C04A8C00BF2","834000","2019-01-10","OX1 4LP","T","N","F","","34","MARLBOROUGH ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/80E1AA98-838E-7BF8-E053-6C04A8C00BF2/current"
"80E1AA98-8117-7BF8-E053-6C04A8C00BF2","515000","2019-01-10","OX1 4LS","T","N","F","","136","MARLBOROUGH ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/80E1AA98-8117-7BF8-E053-6C04A8C00BF2/current"
"7C2D0700-85BF-4963-E053-6B04A8C07B97","492500","2018-10-05","OX1 4LU","T","N","F","","254","MARLBOROUGH ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7C2D0700-85BF-4963-E053-6B04A8C07B97/current"
"79A74E21-FF77-1289-E053-6B04A8C01627","680000","2018-08-02","OX1 4LW","T","N","F","","13","MARLBOROUGH ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/79A74E21-FF77-1289-E053-6B04A8C01627/current"
"965B6D91-C532-95E4-E053-6C04A8C07729","655000","2019-10-18","OX1 4LW","T","N","F","","51","MARLBOROUGH ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-C532-95E4-E053-6C04A8C07729/current"
"7011B109-BC98-8ED6-E053-6B04A8C075C1","390000","2018-03-29","OX1 4NZ","T","N","F","","40","HODGES COURT","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7011B109-BC98-8ED6-E053-6B04A8C075C1/current"
"7011B109-BC9B-8ED6-E053-6B04A8C075C1","400000","2018-01-08","OX1 4NZ","S","N","F","","41","HODGES COURT","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7011B109-BC9B-8ED6-E053-6B04A8C075C1/current"
"93E6821E-B390-40FD-E053-6B04A8C0C1DF","572500","2019-09-06","OX1 4PG","T","N","F","","12","KINETON ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/93E6821E-B390-40FD-E053-6B04A8C0C1DF/current"
"8A78B2AF-E9CB-5CB0-E053-6B04A8C0F504","820000","2019-04-04","OX1 4PG","D","N","F","","21","KINETON ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-E9CB-5CB0-E053-6B04A8C0F504/current"
"87E1551E-7A98-6405-E053-6C04A8C0B2EE","728000","2019-04-04","OX1 4PG","T","N","F","","22","KINETON ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-7A98-6405-E053-6C04A8C0B2EE/current"
